ISU GP 2017 Bridgestone Skate America,,,,,,,,,,,,,,,
MEN SHORT PROGRAM,,JUDGES DETAILS PER SKATER,,,,,,,,,,,,,
,,,,,,,Starting,Total,,Total,,,Total,Total,
Rank,Name,,,,Nation,,Number,Segment,,Element,,Program,Component,Deductions,
,,,,,,,,Score,,Score,,,Score (factored),,
,1,Nathan CHEN,,,USA,,11,,104.12,59.56,,,44.56,0,
,Executed,Base,,,,,,,,,,,Scores of,,
,#,Info,GOE,J1,J2,J3,J4,J5,J6,J7,J8,J9,Ref,,
,Elements,Value,,,,,,,,,,,Panel,,
,1,4Lz+3T,17.9,2,1,2,2,2,2,2,2,2,3,19.9,
,2,FSSp3,2.6,0.64,1,1,1,1,2,2,2,1,1,3.24,
,3,CCSp4,3.2,0.43,1,1,1,1,1,2,1,0,0,3.63,
,4,4F,13.53,x,0.57,-1,1,0,2,0,1,1,0,1,14.1
,5,3A,9.35,x,-1.00,-2,-1,-1,-1,-1,-1,-1,-1,-1,8.35
,6,StSq4,3.9,1.8,3,2,2,2,3,3,2,3,3,5.7,
,7,CCoSp4,3.5,1.14,3,2,1,2,3,3,2,2,2,4.64,
,,53.98,,,,,,,,,,,,59.56,
,Program Components,,Factor,,,,,,,,,,,,
,Skating Skills,,,1,9,8.25,8.5,9.25,8.75,9.75,9.25,9,8.5,8.89,
,Transitions,,,1,8.75,7.75,8.5,8.5,8.5,9.75,8.75,8.75,8.75,8.64,
,Performance,,,1,9,8.25,8.75,9,8.75,10,9.5,9.5,9,9.07,
,Composition,,,1,9.25,8.5,8.75,9,9,10,9.25,9.25,8.5,9,
,Interpretation of the Music,,,1,9.25,8.5,8.5,8.75,9,10,9,9.25,9,8.96,
,Judges Total Program Component Score (factored),,,,,,,,,,,,,44.56,
,Deductions,,,,,,,,,,,,,0,
x,"Credit for highlight distribution, base value multiplied by 1.1",,,,,,,,,,,,,,
,,,,,,,Starting,Total,,Total,,,Total,Total,
Rank,Name,,,,Nation,,Number,Segment,,Element,,Program,Component,Deductions,
,,,,,,,,Score,,Score,,,Score (factored),,
,2,Adam RIPPON,,,USA,,10,,89.04,45.04,,,44,0,
,Executed,Base,,,,,,,,,,,Scores of,,
,#,,GOE,J1,J2,J3,J4,J5,J6,J7,J8,J9,Ref,,
,Elements,Info,Value,,,,,,,,,,Panel,,
,1,3F+3T,9.6,1.2,1,2,1,2,2,2,1,2,3,10.8,
,2,3A,8.5,-0.71,-1,0,-1,0,-1,-1,-1,-1,1,7.79,
,3,FCSp4,3.2,1,2,1,2,2,2,3,2,2,2,4.2,
,4,3Lz,6.6,x,1.2,2,2,1,2,2,1,1,2,2,7.8
,5,CSSp4,3,1.14,3,2,2,2,3,3,2,2,1,4.14,
,6,StSq4,3.9,1.7,2,2,2,3,3,3,2,3,2,5.6,
,7,CCoSp4,3.5,1.21,2,3,2,3,3,3,2,2,2,4.71,
,,38.3,,,,,,,,,,,,45.04,
,Program Components,,Factor,,,,,,,,,,,,
,Skating Skills,,,1,8.5,8.5,8.5,9.25,8.75,8.5,9,8.75,8.5,8.64,
,Transitions,,,1,8.5,8.25,8.5,9,8.5,8.25,8.75,8.5,8.5,8.5,
,Performance,,,1,8.75,9,8.5,9.5,9,9,9,9,9.25,9,
,Composition,,,1,9,8.5,8.75,9.25,8.75,8.5,9.25,9,8.5,8.82,
,Interpretation of the Music,,,1,9,9,8.75,9.5,9,8.75,9.25,9.25,9,9.04,
,Judges Total Program Component Score (factored),,,,,,,,,,,,,44,
,Deductions,,,,,,,,,,,,,0,
x,"Credit for highlight distribution, base value multiplied by 1.1",,,,,,,,,,,,,,
ISU GP 2017 Bridgestone Skate America,,,,,,,,,,,,,,,
