name,country,sp,fs,combined,rank,competition,date
Emanuel Sandhu,Canada,75.55,152.74,228.29,1,2003 Grand Prix Final,12/11/03
Evgeni Plushenko,Russia,78.25,146.94,225.19,2,2003 Grand Prix Final,12/11/03
Michael Weiss,United States,73.33,125.02,198.35,3,2003 Grand Prix Final,12/11/03
Evgeni Plushenko,Russia,84.35,167.40,251.75,1,2004 Grand Prix Final,12/16/04
Jeffrey Buttle,Canada,76.45,140.20,216.65,2,2004 Grand Prix Final,12/16/04
Li Chengjiang,China,65.91,135.16,201.07,3,2004 Grand Prix Final,12/16/04
Stéphane Lambiel,Switzerland,80.60,149.50,230.10,1,2005 Grand Prix Final,12/16/05
Jeffrey Buttle,Canada,76.00,138.34,214.34,2,2005 Grand Prix Final,12/16/05
Daisuke Takahashi,Japan,74.60,137.92,212.52,3,2005 Grand Prix Final,12/16/05
Brian Joubert,France,80.75,152.71,233.46,1,2006 Grand Prix Final,12/14/06
Daisuke Takahashi,Japan,79.99,144.84,224.83,2,2006 Grand Prix Final,12/14/06
Nobunari Oda,Japan,69.15,147.71,216.86,3,2006 Grand Prix Final,12/14/06
Stéphane Lambiel,Switzerland,83.80,155.30,239.10,1,2007 Grand Prix Final,12/13/07
Daisuke Takahashi,Japan,84.20,154.74,238.94,2,2007 Grand Prix Final,12/13/07
Evan Lysacek,United States,79.70,150.08,229.78,3,2007 Grand Prix Final,12/13/07
Jeremy Abbott,United States,78.26,159.46,237.72,1,2008 Grand Prix Final,12/10/08
Takahiko Kozuka,Japan,83.90,140.73,224.63,2,2008 Grand Prix Final,12/10/08
Johnny Weir,United States,72.50,143.00,215.50,3,2008 Grand Prix Final,12/10/08
Evan Lysacek,United States,89.85,159.60,249.45,1,2009 Grand Prix Final,12/02/09
Nobunari Oda,Japan,87.65,155.71,243.36,2,2009 Grand Prix Final,12/02/09
Johnny Weir,United States,84.60,152.75,237.35,3,2009 Grand Prix Final,12/02/09
Patrick Chan,Canada,85.59,174.16,259.75,1,2010 Grand Prix Final,12/08/10
Nobunari Oda,Japan,86.59,156.22,242.81,2,2010 Grand Prix Final,12/08/10
Takahiko Kozuka,Japan,77.90,159.89,237.79,3,2010 Grand Prix Final,12/08/10
Patrick Chan,Canada,86.63,173.67,260.30,1,2011 Grand Prix Final,12/08/11
Daisuke Takahashi,Japan,76.49,172.63,249.12,2,2011 Grand Prix Final,12/08/11
Javier Fernández,Spain,81.26,166.29,247.55,3,2011 Grand Prix Final,12/08/11
Daisuke Takahashi,Japan,92.29,177.11,269.40,1,2012 Grand Prix Final,12/06/12
Yuzuru Hanyu,Japan,87.17,177.12,264.29,2,2012 Grand Prix Final,12/06/12
Patrick Chan,Canada,89.27,169.39,258.66,3,2012 Grand Prix Final,12/06/12
Yuzuru Hanyu,Japan,99.84,193.41,293.25,1,2013 Grand Prix Final,12/05/13
Patrick Chan,Canada,87.47,192.61,280.08,2,2013 Grand Prix Final,12/05/13
Nobunari Oda,Japan,80.94,175.02,255.96,3,2013 Grand Prix Final,12/05/13
Yuzuru Hanyu,Japan,94.08,194.08,288.16,1,2014 Grand Prix Final,12/11/14
Javier Fernández,Spain,79.18,174.72,253.90,2,2014 Grand Prix Final,12/11/14
Sergei Voronov,Russia,84.48,160.05,244.53,3,2014 Grand Prix Final,12/11/14
Yuzuru Hanyu,Japan,110.95,219.48,330.43,1,2015 Grand Prix Final,12/10/15
Javier Fernández,Spain,91.52,201.43,292.95,2,2015 Grand Prix Final,12/10/15
Shoma Uno,Japan,86.47,190.32,276.79,3,2015 Grand Prix Final,12/10/15
Yuzuru Hanyu,Japan,106.53,187.37,293.90,1,2016 Grand Prix Final,12/08/16
Nathan Chen,United States,85.30,197.55,282.85,2,2016 Grand Prix Final,12/08/16
Shoma Uno,Japan,86.82,195.69,282.51,3,2016 Grand Prix Final,12/08/16
Nathan Chen,United States,103.32,183.19,286.51,1,2017 Grand Prix Final,12/07/17
Shoma Uno,Japan,101.51,184.50,286.01,2,2017 Grand Prix Final,12/07/17
Mikhail Kolyada,Russia,99.22,182.78,282.00,3,2017 Grand Prix Final,12/07/17
Stéphane Lambiel,Switzerland,80.28,144.18,224.46,1,2005 World Championships,03/14/05
Jeffrey Buttle,Canada,77.39,136.30,213.69,2,2005 World Championships,03/14/05
Evan Lysacek,United States,73.42,133.74,207.16,3,2005 World Championships,03/14/05
