name,country,competition,date,elements,basevalues,goeavgs
Adelina Sotnikova,Russia,2014 Winter Olympics,2/20/14,"['3T+3T', '3F', 'CCoSp4', '2A', 'LSp4', 'StSq4', 'FCSp4', '3Lz+3T', '3F', '3Lo', 'FCSp4', '2A+3T', '3F+2T+2Lo', '3S', '2A', 'LSp4', 'StSq4', 'ChSq1', 'CCoSp4']","['8.20', '5.30', '3.50', '3.63', '2.70', '3.90', '3.20', '10.10', '5.30', '5.10', '3.20', '8.14', '9.24', '4.62', '3.63', '2.70', '3.90', '2.00', '3.50']","[['2', '2', '3', '2', '2', '2', '2', '3', '3'], ['1', '1', '2', '1', '2', '2', '2', '2', '2'], ['2', '2', '2', '3', '2', '3', '2', '2', '2'], ['2', '1', '3', '2', '2', '2', '2', '2', '2'], ['1', '2', '2', '2', '3', '2', '2', '2', '2'], ['2', '1', '3', '2', '2', '3', '2', '2', '2'], ['3', '2', '3', '3', '2', '3', '2', '3', '2'], ['2', '2', '-1', '1', '2', '2', '3', '0', '1'], ['2', '3', '1', '2', '2', '3', '3', '1', '2'], ['2', '3', '2', '2', '3', '2', '3', '2', '2'], ['3', '3', '2', '3', '3', '3', '3', '2', '2'], ['2', '3', '2', '3', '3', '3', '3', '2', '2'], ['-2', '-1', '-2', '-1', '-1', '-1', '-1', '-2', '-1'], ['2', '2', '2', '1', '2', '1', '3', '1', '2'], ['2', '3', '2', '2', '2', '2', '3', '2', '1'], ['2', '2', '2', '3', '2', '2', '3', '2', '2'], ['2', '3', '1', '2', '3', '3', '3', '2', '2'], ['2', '3', '2', '2', '2', '3', '2', '2', '2'], ['2', '3', '2', '2', '3', '3', '3', '2', '2']]"
Evgenia Medvedeva,Russia,2017 World Championships,3/31/17"['FCSp4', 'StSq4', '3F+3T', '3Lo', '2A', 'CCoSp4', 'LSp4', '3F+3T', '3Lz', 'FCCoSp4', 'StSq4', '3Lo', '3F', '2A+2T+2T', '3S+3T', '2A', 'ChSq1', 'CCoSp4', 'LSp4']","['3.20', '3.90', '10.56', '5.61', '3.63', '3.50', '2.70', '9.60', '6.00', '3.50', '3.90', '5.61', '5.83', '6.49', '9.57', '3.63', '2.00', '3.50', '2.70']","[['1', '2', '2', '2', '2', '1', '2', '2', '2'], ['2', '3', '2', '3', '3', '3', '2', '2', '3'], ['2', '2', '2', '2', '3', '3', '3', '3', '3'], ['2', '3', '2', '2', '2', '2', '2', '2', '2'], ['1', '2', '2', '2', '2', '2', '2', '2', '2'], ['2', '2', '2', '2', '2', '2', '2', '2', '2'], ['2', '3', '2', '2', '2', '2', '2', '2', '3'], ['2', '2', '2', '2', '3', '2', '1', '2', '2'], ['3', '2', '2', '2', '3', '2', '2', '2', '2'], ['2', '2', '2', '2', '2', '2', '2', '2', '3'], ['3', '3', '3', '3', '3', '3', '2', '3', '3'], ['2', '2', '2', '3', '2', '3', '1', '3', '2'], ['2', '2', '2', '2', '3', '2', '1', '2', '2'], ['1', '1', '2', '1', '2', '1', '1', '1', '2'], ['3', '2', '2', '2', '2', '2', '2', '2', '3'], ['2', '1', '2', '1', '2', '2', '1', '2', '2'], ['3', '2', '3', '2', '2', '3', '1', '3', '3'], ['2', '2', '2', '2', '2', '2', '1', '2', '2'], ['2', '3', '3', '2', '2', '2', '2', '2', '3']]"
Evgenia Medvedeva,Russia,2016 World Championships,4/2/16,"['CCoSp3p4', 'StSq4', '3F', '2A', '3Lo+3T', 'FCSp4', 'LSp4', '3F+3T', '3Lz', 'FCCoSp3p4', 'StSq4', '3F', '3Lo', '2A+2T+2T', '3S+3T', '2A', 'ChSq1', 'CCoSp3p4', 'LSp4']","['3.50', '3.90', '5.83', '3.63', '10.34', '3.20', '2.70', '9.60', '6.00', '3.50', '3.90', '5.83', '5.61', '6.49', '9.57', '3.63', '2.00', '3.50', '2.70']","[['2', '2', '2', '2', '2', '2', '2', '2', '2'], ['2', '2', '2', '2', '3', '2', '2', '2', '2'], ['-1', '-1', '0', '0', '0', '-1', '0', '-1', '-2'], ['2', '2', '2', '2', '2', '2', '2', '1', '2'], ['2', '2', '2', '2', '2', '2', '1', '2', '2'], ['1', '2', '2', '2', '3', '2', '2', '2', '3'], ['3', '2', '2', '3', '3', '3', '2', '3', '3'], ['2', '3', '2', '2', '2', '2', '3', '2', '2'], ['1', '2', '2', '3', '2', '2', '2', '2', '3'], ['1', '2', '2', '2', '2', '2', '1', '2', '2'], ['2', '2', '3', '2', '3', '3', '3', '3', '3'], ['2', '2', '3', '2', '2', '2', '2', '2', '3'], ['2', '2', '2', '2', '2', '2', '1', '2', '2'], ['1', '0', '1', '2', '2', '2', '1', '2', '1'], ['2', '2', '2', '2', '2', '2', '2', '2', '3'], ['1', '1', '2', '2', '2', '2', '1', '2', '2'], ['2', '0', '2', '2', '2', '2', '1', '2', '2'], ['2', '2', '2', '2', '3', '2', '2', '2', '2'], ['3', '3', '2', '3', '3', '3', '2', '3', '3']]"
Elizaveta Tuktamysheva,Russia,2015 World Championships,3/28/15,"['3A', '3Lz', 'FSSp3', 'LSp4', '3T+3T', 'StSq4', 'CCoSp3p4', '3Lz+2T+2Lo', '3Lz', '3F', 'LSp4', 'FSSp4', '3T+3T', '3Lo', '3S+2A+SEQ', 'StSq3', '2A', 'ChSq1', 'CCoSp3p3']","['8.50', '6.00', '2.60', '2.70', '9.02', '3.90', '3.50', '9.10', '6.00', '5.30', '2.70', '3.00', '9.02', '5.61', '6.60', '3.30', '3.63', '2.00', '3.00']","[['2', '2', '1', '1', '1', '2', '2', '2', '1'], ['2', '2', '2', '3', '2', '-1', '1', '2', '2'], ['1', '2', '1', '2', '1', '1', '2', '1', '1'], ['2', '1', '2', '1', '2', '2', '2', '1', '2'], ['2', '1', '1', '1', '2', '2', '1', '1', '3'], ['2', '2', '3', '3', '1', '2', '1', '2', '3'], ['2', '2', '1', '2', '2', '2', '3', '2', '2'], ['-1', '-1', '1', '-1', '1', '-1', '-1', '-1', '-1'], ['1', '2', '2', '2', '2', '2', '1', '2', '2'], ['1', '1', '1', '1', '0', '0', '0', '0', '1'], ['2', '2', '2', '1', '2', '1', '2', '2', '2'], ['2', '1', '1', '1', '1', '1', '1', '1', '1'], ['-2', '-2', '0', '-1', '-1', '-2', '-2', '-1', '-2'], ['2', '1', '2', '2', '1', '1', '1', '2', '1'], ['1', '1', '2', '1', '1', '1', '2', '2', '1'], ['3', '2', '2', '2', '2', '1', '2', '2', '2'], ['2', '2', '2', '2', '2', '2', '1', '2', '2'], ['2', '1', '2', '2', '1', '2', '1', '2', '2'], ['3', '1', '2', '1', '2', '2', '2', '1', '2']]"
Mao Asada,Japan,2014 World Championships,3/29/14,"['3A', '3F', 'CCoSp4', 'FCSp4', '3Lo+2Lo', 'StSq4', 'LSp4', '3A', '3F<+3Lo', '3Lz', 'CCoSp4', 'FCSp4', '2A', '3S', '3F+2Lo<+2Lo<', '3Lo', 'FCCoSp4', 'StSq4', 'ChSq1']","['8.50', '5.30', '3.50', '3.20', '7.59', '3.90', '2.70', '6.00', '8.80', '6.00', '3.50', '3.20', '3.63', '4.62', '8.69', '5.61', '3.50', '3.90', '2.00']","[['2', '2', '2', '2', '-1', '1', '2', '2', '2'], ['2', '1', '1', '1', '0', '2', '0', '1', '2'], ['3', '2', '2', '2', '2', '2', '2', '2', '2'], ['2', '2', '2', '2', '1', '1', '2', '2', '2'], ['2', '2', '1', '1', '1', '1', '2', '2', '2'], ['3', '2', '2', '2', '2', '2', '2', '2', '3'], ['2', '2', '1', '2', '2', '2', '1', '3', '2'], ['-1', '0', '1', '-1', '1', '0', '0', '0', '0'], ['-1', '-1', '1', '0', '1', '-1', '1', '0', '0'], ['-1', '-1', '1', '-1', '0', '-2', '1', '0', '-1'], ['1', '2', '2', '1', '2', '1', '2', '2', '2'], ['1', '2', '2', '2', '2', '2', '2', '1', '2'], ['-2', '-1', '-2', '-2', '-2', '-2', '-2', '-2', '-2'], ['1', '2', '1', '1', '1', '1', '2', '2', '2'], ['-1', '-2', '0', '-1', '0', '-2', '-1', '-1', '-1'], ['1', '2', '1', '1', '0', '0', '2', '1', '2'], ['1', '2', '1', '2', '2', '2', '2', '2', '2'], ['2', '3', '2', '2', '2', '3', '3', '3', '3'], ['2', '3', '2', '2', '2', '2', '2', '2', '3']]"
Yuna Kim,South Korea,2013 World Championships,3/16/13,"['3Lz+3T', '3F', 'FCSp3', '2A', 'LSp3', 'StSq4', 'CCoSp4', '3Lz+3T', '3F', 'FCCoSp4', '3S', 'StSq4', '3Lz', '2A+2T+2Lo', '3S+2T', 'LSp3', 'ChSq1', '2A', 'CCoSp4']","['10.10', '5.30', '2.80', '3.63', '2.40', '3.90', '3.50', '10.10', '5.30', '3.50', '4.20', '3.90', '6.60', '7.04', '6.05', '2.40', '2.00', '3.63', '3.50']","[['3', '2', '2', '2', '2', '2', '2', '2', '2'], ['-1', '0', '-1', '-1', '0', '-2', '1', '0', '1'], ['2', '1', '1', '1', '1', '0', '0', '0', '2'], ['3', '1', '2', '2', '2', '2', '1', '2', '1'], ['2', '0', '1', '1', '2', '1', '2', '1', '3'], ['2', '1', '2', '1', '1', '2', '2', '2', '1'], ['2', '2', '1', '1', '2', '2', '2', '1', '3'], ['2', '3', '3', '2', '3', '3', '3', '3', '2'], ['2', '3', '3', '2', '3', '2', '3', '3', '3'], ['2', '3', '2', '2', '2', '2', '2', '2', '2'], ['2', '2', '3', '1', '2', '2', '2', '2', '2'], ['2', '3', '2', '2', '2', '2', '2', '2', '2'], ['2', '3', '3', '2', '3', '2', '3', '2', '3'], ['1', '3', '2', '1', '2', '1', '2', '1', '2'], ['2', '2', '2', '1', '2', '1', '2', '2', '2'], ['2', '2', '3', '2', '2', '3', '2', '2', '2'], ['2', '3', '3', '2', '2', '3', '2', '2', '2'], ['2', '3', '3', '2', '2', '3', '2', '2', '2'], ['3', '3', '3', '2', '2', '3', '2', '2', '2']]"
Carolina Kostner,Italy,2012 World Championships,3/31/12,"['3T+3T', '2Lo', 'FCSp4', '2A', 'LSp3', 'CiSt4', 'CCoSp3', '3Lo', '3F', 'ChSp1', '2A+3T', 'FCSp4', '2F+2T', '2A', '3S', '3S+2T+2T', 'SlSt4', 'FCCoSp4', 'CCoSp4']","['8.20', '1.80', '3.20', '3.30', '2.40', '3.90', '3.00', '5.10', '5.30', '2.00', '7.40', '3.20', '3.41', '3.63', '4.62', '7.48', '3.90', '3.50', '3.50']","[['2', '1', '2', '2', '2', '3', '2', '2', '1'], ['-3', '-3', '-3', '-3', '-3', '-3', '-3', '-3', '-3'], ['2', '1', '1', '2', '1', '2', '1', '1', '0'], ['2', '1', '1', '1', '1', '2', '1', '2', '1'], ['1', '2', '1', '1', '1', '1', '1', '2', '1'], ['3', '1', '2', '2', '2', '2', '2', '3', '2'], ['2', '2', '2', '1', '0', '1', '1', '2', '1'], ['2', '2', '2', '1', '1', '3', '2', '1', '2'], ['2', '3', '2', '2', '1', '3', '2', '2', '2'], ['2', '2', '2', '2', '1', '3', '2', '2', '2'], ['1', '2', '1', '1', '1', '1', '1', '1', '2'], ['1', '1', '1', '1', '0', '2', '2', '1', '2'], ['2', '2', '1', '0', '0', '1', '0', '1', '2'], ['1', '1', '1', '1', '0', '1', '1', '1', '2'], ['1', '2', '2', '1', '1', '1', '2', '1', '2'], ['-2', '1', '1', '0', '0', '0', '1', '1', '2'], ['2', '2', '1', '1', '2', '3', '2', '2', '2'], ['1', '0', '2', '1', '1', '1', '2', '1', '0'], ['1', '1', '1', '1', '1', '2', '2', '1', '2']]"
Miki Ando,Japan,2011 World Championships,4/30/11,"['3Lz+2Lo', '3Lo', '2A', 'FSSp4', 'SlSt3', 'CCoSp4', 'LSp4', '3Lz+2Lo', '3Lo', 'FSSp4', 'CCoSp4', 'ChSp1', '2A+2T', '3Lz', '3S', '3T', '2A+2Lo+2Lo', 'SlSt3', 'FCCoSp4']","['7.80', '5.10', '3.30', '3.00', '3.30', '3.50', '2.70', '7.80', '5.10', '3.00', '3.50', '2.00', '5.17', '6.60', '4.62', '4.51', '7.59', '3.30', '3.50']","[['1', '2', '2', '2', '1', '1', '2', '2', '1'], ['2', '1', '2', '2', '1', '1', '1', '1', '1'], ['1', '1', '1', '1', '1', '2', '2', '1', '1'], ['1', '2', '2', '2', '2', '1', '1', '2', '1'], ['1', '2', '2', '2', '2', '2', '2', '1', '2'], ['1', '1', '1', '1', '1', '0', '1', '2', '1'], ['2', '0', '2', '2', '1', '1', '2', '1', '1'], ['2', '2', '2', '1', '1', '2', '1', '1', '2'], ['0', '1', '1', '1', '0', '0', '1', '0', '1'], ['2', '2', '1', '2', '1', '0', '0', '2', '2'], ['1', '2', '2', '2', '2', '2', '2', '3', '2'], ['1', '1', '2', '1', '1', '1', '1', '2', '2'], ['-1', '-2', '-1', '0', '-2', '-2', '-1', '-1', '0'], ['2', '1', '2', '2', '0', '1', '1', '1', '1'], ['1', '2', '1', '2', '1', '1', '1', '1', '1'], ['2', '1', '1', '2', '1', '1', '2', '1', '2'], ['2', '1', '1', '2', '1', '0', '1', '0', '1'], ['1', '1', '2', '2', '2', '2', '2', '2', '2'], ['2', '2', '2', '2', '1', '2', '2', '2', '2']]"
Mao Asada,Japan,2010 World Championships,3/27/10,"['3A<+2T', '3F', 'LSp4', 'SpSq4', '2A', 'FSSp4', 'SlSt3', 'CCoSp4', '3A', '3A<+2T', '3F+2Lo', 'FSSp4', 'SpSq4', '3Lo', '3F+2Lo+2Lo', '3T', '2A', 'FCoSp4', 'SlSt3', 'CCoSp4']","['4.80', '5.50', '2.70', '3.40', '3.50', '3.00', '3.30', '3.50', '8.20', '4.80', '7.00', '3.00', '3.40', '5.50', '9.35', '4.40', '3.85', '3.00', '3.30', '3.50']","[['1', '-2', '-1', '0', '-2', '1', '0', '1', '0'], ['2', '1', '1', '1', '1', '1', '1', '2', '1'], ['3', '2', '1', '3', '0', '2', '2', '1', '2'], ['3', '2', '1', '2', '1', '3', '2', '2', '2'], ['2', '2', '2', '2', '1', '2', '2', '2', '1'], ['2', '1', '2', '2', '0', '1', '1', '1', '1'], ['3', '2', '3', '3', '1', '2', '2', '2', '2'], ['2', '1', '2', '2', '0', '1', '1', '1', '2'], ['1', '2', '1', '-1', '0', '0', '1', '0', '1'], ['0', '0', '-1', '0', '-2', '-1', '-1', '-1', '2'], ['0', '0', '0', '1', '1', '1', '0', '0', '1'], ['0', '0', '1', '1', '1', '1', '1', '1', '2'], ['1', '2', '1', '1', '2', '1', '2', '3', '3'], ['1', '1', '1', '1', '1', '1', '0', '0', '2'], ['2', '-1', '0', '1', '0', '0', '0', '-1', '2'], ['1', '1', '0', '1', '1', '1', '1', '1', '2'], ['2', '2', '1', '1', '2', '1', '1', '1', '2'], ['0', '1', '1', '1', '2', '1', '1', '1', '2'], ['1', '2', '1', '2', '2', '2', '2', '3', '2'], ['2', '1', '0', '2', '1', '1', '2', '2', '3']]"
Yuna Kim,South Korea,2009 World Championships,3/28/09,"['3F+3T', '3Lz', 'SpSq4', '2A', 'LSp4', 'FSSp4', 'SlSt3', 'CCoSp4', '3F+3T', '2A', '3Lz+2T+2Lo', 'FSSp4', '2A+3T', '3Lz', 'SpSq4', '2S<', 'CoSp4', 'SlSt3', '2A']","['9.50', '6.00', '3.40', '3.50', '2.70', '3.00', '3.30', '3.50', '9.50', '3.50', '8.80', '3.00', '7.50', '6.60', '3.40', '0.44', '3.00', '3.30', '3.85']","[['1', '0', '1', '0', '1', '2', '-1', '1', '1'], ['1', '2', '2', '1', '1', '2', '1', '3', '2'], ['1', '1', '1', '2', '2', '3', '1', '2', '1'], ['1', '1', '1', '1', '1', '2', '1', '1', '2'], ['2', '2', '2', '2', '2', '2', '2', '2', '2'], ['1', '1', '1', '1', '1', '2', '1', '1', '1'], ['2', '2', '2', '2', '2', '2', '1', '2', '2'], ['2', '1', '1', '2', '2', '2', '2', '2', '2'], ['1', '1', '1', '0', '0', '0', '1', '1', '-1'], ['1', '2', '1', '3', '1', '1', '2', '3', '2'], ['2', '1', '0', '1', '1', '0', '1', '1', '1'], ['1', '1', '0', '0', '1', '1', '1', '1', '1'], ['0', '2', '1', '2', '1', '0', '1', '-1', '2'], ['1', '2', '1', '1', '1', '1', '1', '1', '2'], ['2', '1', '1', '2', '2', '2', '1', '2', '2'], ['-1', '-2', '-2', '-2', '-2', '-2', '-2', '-3', '-2'], ['1', '2', '1', '1', '2', '1', '1', '1', '0'], ['2', '2', '0', '2', '3', '2', '2', '2', '2'], ['1', '2', '1', '1', '1', '1', '1', '1', '1']]"
